sd_ri,sd_rs,Repeat,r_max,lwr,upr,convergence,Hit
0.1,0.1,62,1.0021340714268883,0.26783005000000015,1.035808,1,1
0.1,0.1,63,1.0035146072871066,0.676083275,1.513479,1,1
0.1,0.1,64,1.0050937295680251,0.8343200500000001,1.7423635,1,1
0.1,0.1,65,1.0035164345077534,0.19871312500000002,1.06489625,1,1
0.1,0.1,66,1.0053041140713095,0.7477657,1.61659925,1,1
0.1,0.1,67,1.0062928385175647,0.4386589,1.24149725,1,1
0.1,0.1,68,1.0062898785626646,0.27605367500000005,1.0959385000000001,1,1
0.1,0.1,69,1.00297801845342,0.678681125,1.6368560000000003,1,1
0.1,0.1,70,1.0033015519304487,0.5528919750000001,1.3736785,1,1
0.1,0.1,71,1.003950246589995,0.5056599,1.3750770000000003,1,1
0.1,0.1,72,1.0072814412577513,0.06797918500000015,1.0384145,1,1
0.1,0.1,73,1.0025725835912178,0.3924231,1.2143810000000004,1,1
0.1,0.1,74,1.0064026747356087,0.46748800000000007,1.41736275,1,1
0.1,0.1,75,1.0024489704273007,0.50519665,1.31661125,1,1
0.1,0.1,76,1.0025749594740228,0.4727051250000001,1.2820669999999998,1,1
0.1,0.1,77,1.0072068898140432,-0.12469609999999992,0.6904779750000001,1,0
0.1,0.1,78,1.0064469586658609,0.17103457500000002,0.9835032250000001,1,1
0.1,0.1,79,1.0041616350014309,0.15444010000000005,0.9742105750000001,1,1
0.1,0.1,80,1.0060221726363534,0.29495269999999996,1.1208087500000001,1,1
0.1,0.1,81,1.0023962656668384,0.762302225,1.5448330000000001,1,1
0.1,0.1,82,1.0030534190700948,0.27971270000000004,1.0317824999999998,1,1
0.1,0.1,83,1.0022927504446149,0.1037856250000001,0.9444595250000001,1,1
0.1,0.1,84,1.0047408456365594,0.559217675,1.4601185,1,1
0.1,0.1,85,1.0032986795237224,0.28924780000000005,1.05843525,1,1
0.1,0.1,86,1.004790796795139,0.19958115000000004,1.1709052500000006,1,1
0.1,0.1,87,1.0026343676950111,0.5961411250000003,1.4171045,1,1
0.1,0.1,88,1.0071870164027366,0.22723225000000005,1.30642625,1,1
0.1,0.1,89,1.005326858338306,0.39657772500000016,1.24135575,1,1
0.1,0.1,90,1.0028002339422635,0.6039380000000001,1.4602005000000002,1,1
0.1,0.1,91,1.0023780784457794,0.1323516000000002,1.044535,1,1
0.1,0.1,92,1.007520737655084,0.927912875,1.7733627500000002,1,1
0.1,0.1,93,1.0050800568752887,0.5514119,1.373401,1,1
0.1,0.1,94,1.0055745693519316,0.5072621,1.28941725,1,1
